model,scenario_id,attention_signal,method,category,risk_bucket,pearson_r
complete,0,norm_weighted,vg,sdc_trajectory,all,-0.05246662801020765
complete,0,norm_weighted,vg,other_agents,all,0.8915273750198098
complete,0,norm_weighted,vg,roadgraph,all,0.15070971493868313
complete,0,norm_weighted,vg,traffic_lights,all,
complete,0,norm_weighted,vg,gps_path,all,0.22089859798112255
complete,0,norm_weighted,ig,sdc_trajectory,all,0.3013369457497275
complete,0,norm_weighted,ig,other_agents,all,0.8595099689069596
complete,0,norm_weighted,ig,roadgraph,all,0.39734395489515617
complete,0,norm_weighted,ig,traffic_lights,all,
complete,0,norm_weighted,ig,gps_path,all,0.655234601972492
complete,0,norm_weighted,vg,sdc_trajectory,calm,-0.6960031732413714
complete,0,norm_weighted,vg,other_agents,calm,0.9786903207136668
complete,0,norm_weighted,vg,roadgraph,calm,-0.657769375441656
complete,0,norm_weighted,vg,traffic_lights,calm,
complete,0,norm_weighted,vg,gps_path,calm,-0.1999211896989162
complete,0,norm_weighted,ig,sdc_trajectory,calm,-0.6957273128078859
complete,0,norm_weighted,ig,other_agents,calm,0.5721913269412485
complete,0,norm_weighted,ig,roadgraph,calm,-0.3641711204627507
complete,0,norm_weighted,ig,traffic_lights,calm,
complete,0,norm_weighted,ig,gps_path,calm,0.3658085034544902
complete,0,norm_weighted,vg,sdc_trajectory,high,0.45760661247818446
complete,0,norm_weighted,vg,other_agents,high,0.7709347731509231
complete,0,norm_weighted,vg,roadgraph,high,0.24273979814606433
complete,0,norm_weighted,vg,traffic_lights,high,
complete,0,norm_weighted,vg,gps_path,high,0.2619047351513078
complete,0,norm_weighted,ig,sdc_trajectory,high,0.542090614592271
complete,0,norm_weighted,ig,other_agents,high,0.7014287162191354
complete,0,norm_weighted,ig,roadgraph,high,0.059845310277963096
complete,0,norm_weighted,ig,traffic_lights,high,
complete,0,norm_weighted,ig,gps_path,high,0.788354872937648
complete,0,rollout,vg,sdc_trajectory,all,0.17725610114790413
complete,0,rollout,vg,other_agents,all,0.9529289821678759
complete,0,rollout,vg,roadgraph,all,0.41998518510971294
complete,0,rollout,vg,traffic_lights,all,
complete,0,rollout,vg,gps_path,all,0.18555933714766903
complete,0,rollout,ig,sdc_trajectory,all,0.3599343318325195
complete,0,rollout,ig,other_agents,all,0.8952887894508619
complete,0,rollout,ig,roadgraph,all,0.4023906638890785
complete,0,rollout,ig,traffic_lights,all,
complete,0,rollout,ig,gps_path,all,0.8262736071265381
complete,0,rollout,vg,sdc_trajectory,calm,-0.7626368353459523
complete,0,rollout,vg,other_agents,calm,0.9611079249658789
complete,0,rollout,vg,roadgraph,calm,0.1793262337033507
complete,0,rollout,vg,traffic_lights,calm,
complete,0,rollout,vg,gps_path,calm,0.032374098659134
complete,0,rollout,ig,sdc_trajectory,calm,-0.06542101436355297
complete,0,rollout,ig,other_agents,calm,0.5533808227153699
complete,0,rollout,ig,roadgraph,calm,0.675519394014754
complete,0,rollout,ig,traffic_lights,calm,
complete,0,rollout,ig,gps_path,calm,0.8663647142634165
complete,0,rollout,vg,sdc_trajectory,high,0.49085610049127765
complete,0,rollout,vg,other_agents,high,0.8927151907298664
complete,0,rollout,vg,roadgraph,high,0.4919866305785872
complete,0,rollout,vg,traffic_lights,high,
complete,0,rollout,vg,gps_path,high,0.352377714311724
complete,0,rollout,ig,sdc_trajectory,high,0.3290304102628376
complete,0,rollout,ig,other_agents,high,0.7896548765919388
complete,0,rollout,ig,roadgraph,high,0.35557176184853545
complete,0,rollout,ig,traffic_lights,high,
complete,0,rollout,ig,gps_path,high,0.7936845263785948
